timestamp,wind_direction,wind_speed,temperature,rainfall,humidity
2025-04-06 18:00:00,352.369,3.01595,29.0933,0.0,80.4594
2025-04-06 19:00:00,60.8462,2.9192,28.8198,0.0,81.6049
2025-04-06 20:00:00,45.608,2.18551,27.8446,0.0,89.3463
2025-04-06 21:00:00,56.0475,1.09614,27.6061,0.0,88.8765
2025-04-06 22:00:00,57.0146,2.8366,27.6638,0.0,84.6398
2025-04-06 23:00:00,75.8969,4.76267,27.4678,0.0,85.0483
2025-04-07 00:00:00,71.2832,4.44502,26.4922,0.0,86.5643
2025-04-07 01:00:00,68.9626,4.47476,26.1199,0.0,90.481
2025-04-07 02:00:00,64.3894,3.26135,25.8442,0.0,90.8571
2025-04-07 03:00:00,67.3967,3.05944,25.7,0.0,91.9825
2025-04-07 04:00:00,47.4458,1.63028,25.5184,0.0,93.6307
2025-04-07 05:00:00,67.7446,3.13256,25.5233,0.0,93.0559
2025-04-07 06:00:00,65.0848,2.83555,25.643,0.0,92.7548
2025-04-07 07:00:00,62.7031,3.40113,25.4511,0.0,93.2002
2025-04-07 08:00:00,54.9424,2.70043,25.4555,0.0,93.6244
2025-04-07 09:00:00,38.6972,1.93317,25.8615,0.0,92.3201
2025-04-07 10:00:00,19.7008,4.10019,26.3569,0.0,91.0059
2025-04-07 11:00:00,12.6408,1.83272,26.5591,0.0,89.7924
2025-04-07 12:00:00,42.5368,1.8712,26.5794,0.0,91.2697
2025-04-07 13:00:00,62.0749,4.0831,24.7272,2.6,99.934
2025-04-07 14:00:00,50.2361,1.62662,25.1737,0.0,
2025-04-07 15:00:00,63.7735,3.79657,26.4614,0.0,92.2083
2025-04-07 16:00:00,60.0854,5.85638,27.9527,0.0,83.8433
2025-04-07 17:00:00,64.2057,5.79278,28.5969,0.0,78.8137
2025-04-07 18:00:00,66.9313,4.7783,28.311,0.0,79.0507
2025-04-07 19:00:00,67.802,4.63016,27.846,0.0,82.4065
2025-04-07 20:00:00,78.1292,3.24236,27.3765,0.0,83.6348
2025-04-07 21:00:00,98.0055,2.26239,27.0895,0.0,87.0273
2025-04-07 22:00:00,82.2518,1.95808,26.7268,0.0,89.1108
2025-04-07 23:00:00,66.2946,4.05397,26.1586,0.0,92.0521
2025-04-08 00:00:00,55.0743,2.45778,26.0802,0.0,93.431
2025-04-08 01:00:00,51.0118,2.76071,25.762,0.0,94.4891
2025-04-08 02:00:00,348.847,2.38585,25.2752,0.0,97.6761
2025-04-08 03:00:00,27.1372,1.12968,25.4706,0.0,94.9058
2025-04-08 04:00:00,6.88336,2.21058,25.0644,0.0,97.7021
