datetime,location,latitude,longitude,flood,temperature_nearest_value,temperature_nearest_distance,temperature_nearest_station,rainfall_nearest_value,rainfall_nearest_distance,rainfall_nearest_station,humidity_nearest_value,humidity_nearest_distance,humidity_nearest_station,wind_direction_nearest_value,wind_direction_nearest_distance,wind_direction_nearest_station,wind_speed_nearest_value,wind_speed_nearest_distance,wind_speed_nearest_station
2025-03-24T00:28:00,Upp Paya Lebar Service Rd (Lim Teck Boo Rd to Rochdale Rd),1.3178,103.8918,1,24.4,2.483920121407658,Kim Chuan Road,4.872,1.154441164991131,Geylang East Central,93.4,2.483920121407658,Kim Chuan Road,69.0,2.483920121407658,Kim Chuan Road,4.6,2.483920121407658,Kim Chuan Road
2025-03-24T00:28:00,Jln Lokam (near Upp Paya Lebar Rd),1.3178,103.8918,1,24.4,2.483920121407658,Kim Chuan Road,4.872,1.154441164991131,Geylang East Central,93.4,2.483920121407658,Kim Chuan Road,69.0,2.483920121407658,Kim Chuan Road,4.6,2.483920121407658,Kim Chuan Road
2025-03-24T00:28:00,Thrift Dr (near Jln Usaha),1.3437173,103.8836814,1,24.4,0.6231020293747583,Kim Chuan Road,3.2,0.6231020293747583,Kim Chuan Road,93.4,0.6231020293747583,Kim Chuan Road,69.0,0.6231020293747583,Kim Chuan Road,4.6,0.6231020293747583,Kim Chuan Road
2025-03-24T00:23:00,Junction of Toa Payoh Lor 1 and Toa Payoh Lor 2,1.334,103.8471,1,24.4,2.848715578972751,Scotts Road,8.8,0.9697592779814542,Toa Payoh North,99.3,2.848715578972751,Scotts Road,35.0,2.848715578972751,Scotts Road,3.4,2.848715578972751,Scotts Road
2025-03-24T00:20:00,Langsat Rd (Everitt Rd North to Lor 106 Changi),1.3644,103.9915,1,0.0,1.0594151082112884,Upper Changi Road North,0.0,1.0594151082112884,Upper Changi Road North,0.0,1.0594151082112884,Upper Changi Road North,29.0,6.389438292874045,Pulau Ubin,2.5,6.389438292874045,Pulau Ubin
2025-03-24T00:20:00,Lor 105 Changi,1.3644,103.9915,1,0.0,1.0594151082112884,Upper Changi Road North,0.0,1.0594151082112884,Upper Changi Road North,0.0,1.0594151082112884,Upper Changi Road North,29.0,6.389438292874045,Pulau Ubin,2.5,6.389438292874045,Pulau Ubin
2025-03-24T00:15:00,Marine Parade Ctrl,1.302,103.9069,1,24.5,4.699047641119932,Kim Chuan Road,10.6,0.6301753380563337,Marine Parade Road,92.7,4.699047641119932,Kim Chuan Road,40.0,4.699047641119932,Kim Chuan Road,4.4,4.699047641119932,Kim Chuan Road
2025-03-24T00:15:00,Marine Parade Rd,1.302,103.9069,1,24.5,4.699047641119932,Kim Chuan Road,10.6,0.6301753380563337,Marine Parade Road,92.7,4.699047641119932,Kim Chuan Road,40.0,4.699047641119932,Kim Chuan Road,4.4,4.699047641119932,Kim Chuan Road
2025-03-24T00:12:00,East Coast Rd,1.3082646,103.9090288,1,24.8,4.221163218744405,Kim Chuan Road,6.2,0.24945377700370874,Marine Parade Road,92.6,4.221163218744405,Kim Chuan Road,9.0,4.221163218744405,Kim Chuan Road,4.8,4.221163218744405,Kim Chuan Road
2025-03-23T01:31:00,Mountbatten Road/Jalan Seaview,1.3521,103.8198,1,24.1,4.956061241628442,Scotts Road,0.2,1.9143082025139122,Lornie Road,99.3,4.956061241628442,Scotts Road,46.0,4.956061241628442,Scotts Road,2.7,4.956061241628442,Scotts Road
